train_no,train_name,source_code,source_name,destination_code,destination_name,class,days_before_journey,weekday,month,punctuality_rate,avg_waitlist,confirmation_chance
83170,Guwahati-Lumding Jn Mail Express,GHY,Guwahati,LMG,Lumding Jn,2S,36,0,12,68.59,383,21.25%
46335,Mumbai Central-Patna Jn Express,BCT,Mumbai Central,PNBE,Patna Jn,2S,79,4,4,84.39,88,55.86%
58611,Bhopal-Jabalpur Superfast Express,BPL,Bhopal,JBP,Jabalpur,CC,99,5,9,71.99,252,20.36%
48200,Jorhat Town-Lucknow Jn Intercity Express,JRH,Jorhat Town,LJN,Lucknow Jn,1A,98,3,8,74.1,468,5%
86753,Hazrat Nizamuddin-Silchar Express,NZM,Hazrat Nizamuddin,SCL,Silchar,2S,68,5,6,76.18,196,43.97%
83420,Bhopal-Shalimar Intercity Express,BPL,Bhopal,SHM,Shalimar,1A,109,4,10,61.42,323,9.75%
39272,Kolkata-Bandra Terminus Superfast Express,KOAA,Kolkata,BDTS,Bandra Terminus,3A,79,0,5,81.37,95,56.44%
95256,Guwahati-Coimbatore Superfast Express,GHY,Guwahati,CBE,Coimbatore,SL,52,5,7,68.44,378,16.65%
91825,Chennai Egmore-Ernakulam Jn Mail Express,MS,Chennai Egmore,ERS,Ernakulam Jn,SL,95,4,8,66.08,182,34.48%
64997,Dimapur-New Bongaigaon Mail Express,DMV,Dimapur,NBQ,New Bongaigaon,SL,12,2,5,60.97,398,26.27%
29882,Bangalore City-Haridwar Intercity Express,SBC,Bangalore City,HW,Haridwar,3A,27,0,11,93.02,458,17.29%
61876,Hyderabad Deccan-Mumbai Central Intercity Express,HYB,Hyderabad Deccan,MMCT,Mumbai Central,3A,114,5,1,83.96,389,5%
69151,Amritsar-Yesvantpur Mail Express,ASR,Amritsar,YPR,Yesvantpur,2A,63,3,3,60.34,453,7.26%
45405,Patna Jn-Mumbai Central Express,PNBE,Patna Jn,BCT,Mumbai Central,CC,44,0,5,65.88,233,45.08%
39437,Raxaul-Mumbai Central Superfast Express,RXL,Raxaul,BCT,Mumbai Central,2S,105,2,9,81.18,422,5%
54742,Dibrugarh-Bhopal Express,DBRG,Dibrugarh,BPL,Bhopal,2A,51,4,10,88.67,235,45.77%
90541,Kokrajhar-Ajmer Jn Intercity Express,KOJ,Kokrajhar,AII,Ajmer Jn,CC,61,1,6,83.41,308,24.36%
71263,Patna Jn-Shoranur Jn Intercity Express,PNBE,Patna Jn,SRR,Shoranur Jn,CC,38,0,8,83.92,223,46.86%
70436,Mariani Jn-Vijayawada Mail Express,MXN,Mariani Jn,BZA,Vijayawada,2S,119,4,10,74.77,46,51.34%
41799,Madurai-Shalimar Express,MDU,Madurai,SHM,Shalimar,2A,35,2,4,83.92,435,13.6%
13136,Rangiya Jn-Gaya Jn Mail Express,RNY,Rangiya Jn,GAYA,Gaya Jn,2A,94,2,3,93.05,268,20.1%
30680,Bikaner-Madurai Intercity Express,BKN,Bikaner,MDU,Madurai,1A,10,0,12,63.08,365,34.52%
89176,Kokrajhar-Bangalore City Intercity Express,KOJ,Kokrajhar,SBC,Bangalore City,2S,35,1,3,82.73,365,31.64%
73157,Dimapur-Patna Jn Superfast Express,DMV,Dimapur,PNBE,Patna Jn,3A,39,1,7,64.17,74,76.58%
35712,Lucknow-Kolkata Express,LKO,Lucknow,KOAA,Kolkata,CC,77,5,4,84.59,275,27.26%
51262,Howrah-Silchar Intercity Express,HWH,Howrah,SCL,Silchar,CC,91,2,6,73.97,165,44.08%
37473,Shalimar-Agartala Superfast Express,SHM,Shalimar,AGTL,Agartala,1A,48,0,10,69.04,206,49.6%
16056,Thiruvananthapuram Central-Delhi Sarai Rohilla Mail Express,TVC,Thiruvananthapuram Central,DEE,Delhi Sarai Rohilla,3A,108,6,7,62.57,479,5%
81399,Vasco-da-Gama-Coimbatore Express,VSG,Vasco-da-Gama,CBE,Coimbatore,SL,57,4,5,98.77,247,40.65%
49603,Jammu Tawi-Firozpur Cantt Express,JAT,Jammu Tawi,FZR,Firozpur Cantt,1A,47,4,11,61.99,66,72.14%
34386,Raxaul-Cuttack Mail Express,RXL,Raxaul,CTC,Cuttack,SL,52,6,10,61.24,40,78.19%
26320,Rourkela-Chhatrapati Shivaji Maharaj Terminus Mail Express,ROU,Rourkela,CSMT,Chhatrapati Shivaji Maharaj Terminus,1A,19,5,7,82.52,463,15.68%
87810,Jabalpur-Howrah Intercity Express,JBP,Jabalpur,HWH,Howrah,1A,27,4,3,97.04,242,47.82%
85261,Alipurduar Jn-Hazrat Nizamuddin Superfast Express,APDJ,Alipurduar Jn,NZM,Hazrat Nizamuddin,CC,111,0,3,79.63,109,46.16%
78516,Cuttack-Bhopal Express,CTC,Cuttack,BPL,Bhopal,1A,27,6,4,86.62,45,79.96%
57175,New Delhi-Coimbatore Mail Express,NDLS,New Delhi,CBE,Coimbatore,1A,80,1,7,81.73,471,5%
77327,Dimapur-Delhi Jn Express,DMV,Dimapur,DLI,Delhi Jn,2A,20,0,9,79.27,152,70.41%
11610,Firozpur Cantt-New Delhi Express,FZR,Firozpur Cantt,NDLS,New Delhi,1A,14,1,11,67.14,318,40.34%
78690,Kochuveli-Delhi Jn Superfast Express,KCVL,Kochuveli,DLI,Delhi Jn,SL,82,3,10,85.75,138,54.07%
16440,Bangalore City-Vasco-da-Gama Express,SBC,Bangalore City,VSG,Vasco-da-Gama,3A,16,1,11,81.81,123,69.98%
81033,Bhopal-Pune Intercity Express,BPL,Bhopal,PUNE,Pune,CC,64,3,12,88.25,349,18.13%
98129,Ahmedabad-Amritsar Mail Express,ADI,Ahmedabad,ASR,Amritsar,2A,26,0,5,92.45,398,24.65%
76216,Thiruvananthapuram Central-Bhopal Mail Express,TVC,Thiruvananthapuram Central,BPL,Bhopal,2S,66,0,7,80.69,381,10.35%
76094,Kolkata-Ranchi Intercity Express,KOAA,Kolkata,RNC,Ranchi,3A,30,5,7,79.57,263,49.01%
93898,Howrah-Bandra Terminus Superfast Express,HWH,Howrah,BDTS,Bandra Terminus,SL,26,2,5,64.51,413,23.66%
97534,Amritsar-Hazrat Nizamuddin Superfast Express,ASR,Amritsar,NZM,Hazrat Nizamuddin,SL,19,2,6,95.07,237,51.63%
46993,Chhatrapati Shivaji Maharaj Terminus-Bandra Terminus Mail Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,BDTS,Bandra Terminus,3A,109,5,6,87.36,411,5%
77839,Garib Rath Express 8,VSG,Vasco-da-Gama,CAPE,Kanyakumari,3A,22,1,4,99.5,386,28.51%
98842,Hyderabad Deccan-Delhi Jn Superfast Express,HYB,Hyderabad Deccan,DLI,Delhi Jn,3A,97,4,2,64.3,462,5%
50483,Shoranur Jn-Lucknow Intercity Express,SRR,Shoranur Jn,LKO,Lucknow,SL,28,0,12,81.7,490,12.14%
37132,Thiruvananthapuram Central-Howrah Express,TVC,Thiruvananthapuram Central,HWH,Howrah,CC,43,0,4,65.61,268,38.56%
29569,Visakhapatnam-Mysuru Express,VSKP,Visakhapatnam,MYS,Mysuru,2A,4,3,12,95.8,314,41.79%
71249,Pune-Rourkela Express,PUNE,Pune,ROU,Rourkela,SL,40,1,6,63.46,44,82.27%
83129,Kharagpur Jn-Jorhat Town Mail Express,KGP,Kharagpur Jn,JRH,Jorhat Town,2A,116,6,1,64.53,250,14.82%
89500,Kolkata-Chhatrapati Shivaji Maharaj Terminus Intercity Express,KOAA,Kolkata,CSMT,Chhatrapati Shivaji Maharaj Terminus,CC,22,4,10,62.71,377,33.83%
32026,Yesvantpur-New Bongaigaon Mail Express,YPR,Yesvantpur,NBQ,New Bongaigaon,1A,68,5,3,93.3,398,15.63%
51101,Hyderabad Deccan-Ajmer Jn Superfast Express,HYB,Hyderabad Deccan,AII,Ajmer Jn,CC,7,2,11,81.77,155,76.44%
63833,Silchar-Dehradun Superfast Express,SCL,Silchar,DDN,Dehradun,SL,46,4,10,69.37,389,24.48%
94056,Sealdah-Ernakulam Jn Superfast Express,SDAH,Sealdah,ERS,Ernakulam Jn,3A,74,4,12,88.36,280,31.0%
49489,New Bongaigaon-Bhubaneswar Superfast Express,NBQ,New Bongaigaon,BBS,Bhubaneswar,2S,67,6,3,62.32,182,45.01%
27336,Tirupati-Delhi Jn Mail Express,TPTY,Tirupati,DLI,Delhi Jn,3A,116,1,11,96.32,7,56.11%
91971,Lucknow-Agartala Mail Express,LKO,Lucknow,AGTL,Agartala,1A,106,1,4,79.36,368,5%
16855,Yesvantpur-New Delhi Express,YPR,Yesvantpur,NDLS,New Delhi,SL,44,0,3,96.87,431,17.2%
85850,Agartala-Tirupati Intercity Express,AGTL,Agartala,TPTY,Tirupati,2S,25,3,7,98.87,421,22.92%
38577,Chhatrapati Shivaji Maharaj Terminus-Amritsar Intercity Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,ASR,Amritsar,CC,70,1,11,65.72,365,13.44%
25203,Kharagpur Jn-Sealdah Intercity Express,KGP,Kharagpur Jn,SDAH,Sealdah,1A,16,0,11,87.85,439,20.97%
40115,Visakhapatnam-Dibrugarh Express,VSKP,Visakhapatnam,DBRG,Dibrugarh,1A,44,3,4,99.12,320,29.22%
97235,Guwahati-Ranchi Express,GHY,Guwahati,RNC,Ranchi,CC,99,3,6,89.62,323,15.18%
14369,Vasco-da-Gama-Dehradun Superfast Express,VSG,Vasco-da-Gama,DDN,Dehradun,SL,79,1,11,85.75,147,45.89%
89450,Dehradun-Pune Express,DDN,Dehradun,PUNE,Pune,2A,63,6,5,61.32,472,5%
78035,Shalimar-Dibrugarh Intercity Express,SHM,Shalimar,DBRG,Dibrugarh,2A,11,6,12,81.97,125,70.89%
19661,Bhopal-Mariani Jn Mail Express,BPL,Bhopal,MXN,Mariani Jn,SL,4,3,4,82.58,138,79.44%
77314,Rangiya Jn-Chennai Central Express,RNY,Rangiya Jn,MAS,Chennai Central,1A,55,3,12,96.1,108,68.65%
21706,Haridwar-Dimapur Intercity Express,HW,Haridwar,DMV,Dimapur,2S,94,4,3,74.87,88,50.81%
98833,Jammu Tawi-Rangiya Jn Superfast Express,JAT,Jammu Tawi,RNY,Rangiya Jn,2A,103,3,10,80.87,187,33.91%
12995,Jabalpur-Silchar Intercity Express,JBP,Jabalpur,SCL,Silchar,CC,113,2,6,84.22,232,25.37%
55029,New Jalpaiguri-Coimbatore Express,NJP,New Jalpaiguri,CBE,Coimbatore,2A,13,2,11,68.66,263,47.51%
46317,Kochuveli-Mumbai Central Express,KCVL,Kochuveli,MMCT,Mumbai Central,1A,118,5,6,61.53,20,57.85%
20252,Guwahati-Jabalpur Superfast Express,GHY,Guwahati,JBP,Jabalpur,1A,103,2,4,94.22,129,42.16%
95166,Pune-Chennai Central Mail Express,PUNE,Pune,MAS,Chennai Central,3A,8,2,12,83.02,139,73.04%
52534,Yesvantpur-Haridwar Express,YPR,Yesvantpur,HW,Haridwar,3A,49,3,4,94.5,422,13.96%
94513,Bhopal-Silchar Mail Express,BPL,Bhopal,SCL,Silchar,2A,43,3,6,92.57,235,48.26%
39431,Ajmer Jn-Shoranur Jn Express,AII,Ajmer Jn,SRR,Shoranur Jn,CC,100,1,10,62.89,47,56.78%
50306,Garib Rath Express 1,NTSK,New Tinsukia,SRR,Shoranur Jn,3A,18,3,3,89.93,36,92.59%
80973,Chhatrapati Shivaji Maharaj Terminus-Mysuru Superfast Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,MYS,Mysuru,2S,119,6,8,64.49,491,5%
39213,Thiruvananthapuram Central-Raxaul Superfast Express,TVC,Thiruvananthapuram Central,RXL,Raxaul,CC,58,1,4,82.26,344,23.87%
20705,Jorhat Town-Lucknow Jn Mail Express,JRH,Jorhat Town,LJN,Lucknow Jn,3A,68,5,6,73.98,315,23.97%
11814,Bangalore City-Alipurduar Jn Intercity Express,SBC,Bangalore City,APDJ,Alipurduar Jn,3A,57,5,8,77.62,497,5%
23070,Guwahati-Rourkela Superfast Express,GHY,Guwahati,ROU,Rourkela,2A,111,4,12,62.89,376,5%
52515,Bikaner-Delhi Sarai Rohilla Mail Express,BKN,Bikaner,DEE,Delhi Sarai Rohilla,2A,48,2,7,88.25,75,73.34%
30541,Bhubaneswar-Jabalpur Intercity Express,BBS,Bhubaneswar,JBP,Jabalpur,SL,7,2,6,66.79,27,88.82%
66956,Howrah-Bikaner Mail Express,HWH,Howrah,BKN,Bikaner,3A,78,0,6,74.26,492,5%
21855,Jammu Tawi-Yesvantpur Superfast Express,JAT,Jammu Tawi,YPR,Yesvantpur,SL,102,2,1,69.28,353,5%
32020,Guwahati-Mysuru Mail Express,GHY,Guwahati,MYS,Mysuru,2A,11,4,10,63.99,68,85.22%
89700,Sealdah-Mumbai Central Superfast Express,SDAH,Sealdah,BCT,Mumbai Central,2A,17,1,5,87.85,226,52.99%
99517,New Tinsukia-Dibrugarh Express,NTSK,New Tinsukia,DBRG,Dibrugarh,2A,94,6,3,99.65,131,48.05%
99957,Cuttack-Vijayawada Superfast Express,CTC,Cuttack,BZA,Vijayawada,SL,93,1,1,64.83,74,53.24%
67236,Dehradun-Rangiya Jn Express,DDN,Dehradun,RNY,Rangiya Jn,2A,0,6,8,86.76,478,25.08%
66324,Ajmer Jn-Mumbai Central Express,AII,Ajmer Jn,MMCT,Mumbai Central,2A,81,2,5,71.39,279,30.33%
76659,Chhatrapati Shivaji Maharaj Terminus-Rourkela Mail Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,ROU,Rourkela,1A,25,5,8,96.39,51,86.87%
69800,Bikaner-Firozpur Cantt Express,BKN,Bikaner,FZR,Firozpur Cantt,1A,101,4,1,74.31,130,40.12%
94847,Mariani Jn-Gaya Jn Express,MXN,Mariani Jn,GAYA,Gaya Jn,2S,97,1,10,67.19,168,41.16%
17008,New Bongaigaon-New Tinsukia Superfast Express,NBQ,New Bongaigaon,NTSK,New Tinsukia,3A,73,5,10,84.63,26,71.52%
25745,Patna Jn-Ernakulam Jn Mail Express,PNBE,Patna Jn,ERS,Ernakulam Jn,2A,101,5,3,67.88,497,5%
19653,New Delhi-Kharagpur Jn Superfast Express,NDLS,New Delhi,KGP,Kharagpur Jn,2A,66,6,3,96.28,85,66.59%
22108,Ahmedabad-Agartala Superfast Express,ADI,Ahmedabad,AGTL,Agartala,2A,10,4,7,66.08,24,94.79%
97738,Jorhat Town-Vijayawada Superfast Express,JRH,Jorhat Town,BZA,Vijayawada,2A,44,3,1,75.83,146,61.86%
82339,Kokrajhar-Mumbai Central Superfast Express,KOJ,Kokrajhar,BCT,Mumbai Central,SL,83,0,2,80.85,64,58.9%
30483,Secunderabad-Chennai Central Express,SC,Secunderabad,MAS,Chennai Central,SL,39,0,3,85.38,31,85.05%
51541,Dehradun-Rourkela Mail Express,DDN,Dehradun,ROU,Rourkela,SL,25,0,11,70.47,317,42.33%
19830,Kokrajhar-Hazrat Nizamuddin Superfast Express,KOJ,Kokrajhar,NZM,Hazrat Nizamuddin,2S,85,1,10,87.53,262,32.57%
59820,Rourkela-Puri Express,ROU,Rourkela,PURI,Puri,3A,28,0,6,69.06,333,39.7%
99152,Pune-Lucknow Superfast Express,PUNE,Pune,LKO,Lucknow,2S,5,1,9,96.2,233,61.64%
81399,Vasco-da-Gama-Coimbatore Express,VSG,Vasco-da-Gama,CBE,Coimbatore,SL,53,0,4,77.66,335,23.65%
49126,Pune-Jammu Tawi Mail Express,PUNE,Pune,JAT,Jammu Tawi,1A,73,4,11,76.92,176,47.26%
56789,Gaya Jn-Cuttack Intercity Express,GAYA,Gaya Jn,CTC,Cuttack,SL,1,1,4,77.53,439,28.99%
24220,Mumbai Central-Lucknow Express,MMCT,Mumbai Central,LKO,Lucknow,3A,12,0,6,61.8,269,48.61%
27157,Cuttack-Lucknow Jn Express,CTC,Cuttack,LJN,Lucknow Jn,1A,22,1,10,77.37,491,9.91%
86818,Chhatrapati Shivaji Maharaj Terminus-Kochuveli Mail Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,KCVL,Kochuveli,2A,73,4,12,64.16,56,65.51%
66114,Howrah-Vasco-da-Gama Express,HWH,Howrah,VSG,Vasco-da-Gama,SL,29,2,2,63.34,500,7.19%
91762,Dimapur-Rourkela Intercity Express,DMV,Dimapur,ROU,Rourkela,CC,90,3,9,63.96,402,7.59%
46670,Chennai Egmore-Kolkata Express,MS,Chennai Egmore,KOAA,Kolkata,SL,27,3,12,67.24,434,14.38%
23402,Howrah-Alipurduar Jn Superfast Express,HWH,Howrah,APDJ,Alipurduar Jn,2S,106,4,5,80.77,478,5%
59687,Ahmedabad-Pune Intercity Express,ADI,Ahmedabad,PUNE,Pune,SL,9,0,1,93.56,237,61.21%
28634,Mumbai Central-Lucknow Jn Mail Express,BCT,Mumbai Central,LJN,Lucknow Jn,2S,25,5,12,83.42,487,13.06%
92149,Yesvantpur-Rourkela Mail Express,YPR,Yesvantpur,ROU,Rourkela,SL,46,6,8,85.09,92,66.46%
20137,Raxaul-Haridwar Mail Express,RXL,Raxaul,HW,Haridwar,CC,112,1,9,74.83,478,5%
25408,Haridwar-Ernakulam Jn Superfast Express,HW,Haridwar,ERS,Ernakulam Jn,SL,45,4,11,99.78,35,75.67%
34551,Mysuru-Mumbai Central Mail Express,MYS,Mysuru,MMCT,Mumbai Central,CC,1,1,7,63.67,462,21.99%
35035,Bikaner-Rourkela Superfast Express,BKN,Bikaner,ROU,Rourkela,CC,23,3,4,61.62,277,43.36%
86936,Vijayawada-Shalimar Intercity Express,BZA,Vijayawada,SHM,Shalimar,CC,57,6,11,84.42,403,18.18%
82001,Lucknow Jn-Mariani Jn Intercity Express,LJN,Lucknow Jn,MXN,Mariani Jn,1A,66,6,10,88.14,454,5%
53630,Amritsar-Guwahati Mail Express,ASR,Amritsar,GHY,Guwahati,3A,66,2,9,78.9,328,22.38%
98514,Kanpur Central-Kochuveli Intercity Express,CNB,Kanpur Central,KCVL,Kochuveli,CC,29,5,3,95.42,358,29.32%
38713,Kolkata-Delhi Sarai Rohilla Superfast Express,KOAA,Kolkata,DEE,Delhi Sarai Rohilla,3A,102,3,12,69.2,275,23.85%
24733,Agartala-Raxaul Express,AGTL,Agartala,RXL,Raxaul,3A,32,1,10,90.19,388,21.82%
37080,Hazrat Nizamuddin-Rangiya Jn Mail Express,NZM,Hazrat Nizamuddin,RNY,Rangiya Jn,1A,93,6,9,82.89,215,37.84%
59955,Coimbatore-New Bongaigaon Mail Express,CBE,Coimbatore,NBQ,New Bongaigaon,2A,110,1,8,95.12,49,53.81%
63834,Thiruvananthapuram Central-Jabalpur Superfast Express,TVC,Thiruvananthapuram Central,JBP,Jabalpur,3A,95,1,1,80.02,231,28.6%
84480,Dibrugarh-Chennai Egmore Express,DBRG,Dibrugarh,MS,Chennai Egmore,2S,36,1,9,66.71,287,42.87%
31783,Kanpur Central-Mariani Jn Express,CNB,Kanpur Central,MXN,Mariani Jn,SL,82,2,11,98.32,301,20.39%
69459,Kochuveli-Alipurduar Jn Mail Express,KCVL,Kochuveli,APDJ,Alipurduar Jn,1A,3,1,9,62.98,379,39.83%
36117,Jorhat Town-Delhi Sarai Rohilla Superfast Express,JRH,Jorhat Town,DEE,Delhi Sarai Rohilla,2A,72,1,5,63.81,408,9.32%
34417,Firozpur Cantt-Raxaul Express,FZR,Firozpur Cantt,RXL,Raxaul,SL,7,1,10,89.94,102,80.13%
86856,Jabalpur-Lumding Jn Superfast Express,JBP,Jabalpur,LMG,Lumding Jn,CC,19,6,8,83.04,359,36.32%
57329,New Jalpaiguri-Dehradun Express,NJP,New Jalpaiguri,DDN,Dehradun,2A,20,6,2,69.1,310,39.0%
59993,New Delhi-Madurai Mail Express,NDLS,New Delhi,MDU,Madurai,CC,108,6,1,94.7,455,5%
45133,Vasco-da-Gama-Ahmedabad Intercity Express,VSG,Vasco-da-Gama,ADI,Ahmedabad,1A,40,0,6,99.14,384,21.52%
62409,Chhatrapati Shivaji Maharaj Terminus-Shoranur Jn Mail Express,CSMT,Chhatrapati Shivaji Maharaj Terminus,SRR,Shoranur Jn,3A,0,1,10,64.97,121,80.86%
41462,Agartala-Silchar Express,AGTL,Agartala,SCL,Silchar,2S,24,6,4,61.71,34,87.87%
54708,Rangiya Jn-Dehradun Intercity Express,RNY,Rangiya Jn,DDN,Dehradun,3A,73,4,6,65.98,277,31.51%
70845,Dibrugarh-Shoranur Jn Superfast Express,DBRG,Dibrugarh,SRR,Shoranur Jn,CC,105,2,4,86.47,83,47.43%
89313,Darbhanga-Bhubaneswar Superfast Express,DBG,Darbhanga,BBS,Bhubaneswar,3A,36,5,9,60.61,294,36.94%
69866,Alipurduar Jn-Ajmer Jn Superfast Express,APDJ,Alipurduar Jn,AII,Ajmer Jn,3A,75,5,1,74.43,303,21.64%
18474,Kanyakumari-Ajmer Jn Mail Express,CAPE,Kanyakumari,AII,Ajmer Jn,SL,40,1,2,94.05,143,64.21%
41224,Mysuru-Chhatrapati Shivaji Maharaj Terminus Superfast Express,MYS,Mysuru,CSMT,Chhatrapati Shivaji Maharaj Terminus,3A,75,3,6,69.83,239,34.36%
29677,Kanpur Central-Secunderabad Superfast Express,CNB,Kanpur Central,SC,Secunderabad,2A,19,6,10,78.99,100,78.17%
14426,Rangiya Jn-Bikaner Mail Express,RNY,Rangiya Jn,BKN,Bikaner,1A,22,0,11,71.11,123,71.4%
75004,Silchar-New Bongaigaon Superfast Express,SCL,Silchar,NBQ,New Bongaigaon,2A,58,5,1,64.81,400,11.71%
58433,Silchar-New Bongaigaon Express,SCL,Silchar,NBQ,New Bongaigaon,SL,44,0,9,82.96,390,18.15%
88145,Bandra Terminus-Gaya Jn Express,BDTS,Bandra Terminus,GAYA,Gaya Jn,SL,13,5,8,97.46,128,72.41%
38905,Kokrajhar-Silchar Express,KOJ,Kokrajhar,SCL,Silchar,CC,70,1,8,93.39,225,38.28%
60608,New Bongaigaon-Jammu Tawi Intercity Express,NBQ,New Bongaigaon,JAT,Jammu Tawi,SL,84,3,5,87.49,57,58.95%
62599,Lumding Jn-Secunderabad Superfast Express,LMG,Lumding Jn,SC,Secunderabad,3A,40,5,2,99.79,239,48.54%
75097,Yesvantpur-Delhi Sarai Rohilla Mail Express,YPR,Yesvantpur,DEE,Delhi Sarai Rohilla,SL,16,2,2,80.38,156,64.11%
10110,Kolkata-Vasco-da-Gama Express,KOAA,Kolkata,VSG,Vasco-da-Gama,SL,69,3,9,73.58,257,33.61%
78337,Darbhanga-Secunderabad Express,DBG,Darbhanga,SC,Secunderabad,CC,104,3,5,75.76,451,5%
25959,Kanpur Central-Kokrajhar Intercity Express,CNB,Kanpur Central,KOJ,Kokrajhar,3A,10,3,3,93.44,452,22.97%
46432,New Jalpaiguri-Dehradun Superfast Express,NJP,New Jalpaiguri,DDN,Dehradun,CC,95,3,10,79.22,220,32.83%
37173,Kanpur Central-Jabalpur Express,CNB,Kanpur Central,JBP,Jabalpur,3A,36,0,4,63.36,401,24.08%
56101,Shalimar-Bikaner Mail Express,SHM,Shalimar,BKN,Bikaner,CC,55,1,5,84.79,451,6.04%
45275,Rourkela-Visakhapatnam Superfast Express,ROU,Rourkela,VSKP,Visakhapatnam,SL,51,4,11,97.75,410,19.24%
24111,Patna Jn-Jorhat Town Intercity Express,PNBE,Patna Jn,JRH,Jorhat Town,CC,52,0,12,97.63,157,54.38%
64213,Silchar-Kochuveli Mail Express,SCL,Silchar,KCVL,Kochuveli,3A,9,6,2,70.91,437,27.24%
95449,Jorhat Town-Yesvantpur Superfast Express,JRH,Jorhat Town,YPR,Yesvantpur,3A,47,4,4,72.72,297,39.71%
39213,Thiruvananthapuram Central-Raxaul Superfast Express,TVC,Thiruvananthapuram Central,RXL,Raxaul,1A,2,4,6,98.8,225,63.22%
15211,Raxaul-Lucknow Jn Superfast Express,RXL,Raxaul,LJN,Lucknow Jn,SL,77,2,7,96.01,361,13.56%
91043,Mumbai Central-Ahmedabad Superfast Express,MMCT,Mumbai Central,ADI,Ahmedabad,1A,35,5,5,80.27,164,58.2%
87831,Delhi Sarai Rohilla-Lucknow Express,DEE,Delhi Sarai Rohilla,LKO,Lucknow,3A,28,3,5,98.6,298,45.85%
69076,Delhi Jn-Vijayawada Mail Express,DLI,Delhi Jn,BZA,Vijayawada,CC,64,3,12,60.49,285,35.25%
94897,Lucknow Jn-Delhi Sarai Rohilla Intercity Express,LJN,Lucknow Jn,DEE,Delhi Sarai Rohilla,CC,65,6,11,81.92,104,65.41%
55364,Thiruvananthapuram Central-Pune Superfast Express,TVC,Thiruvananthapuram Central,PUNE,Pune,CC,62,0,12,63.93,297,28.49%
35577,Bikaner-Raxaul Express,BKN,Bikaner,RXL,Raxaul,2S,114,4,10,88.03,73,47.86%
75911,Guwahati-Rangiya Jn Mail Express,GHY,Guwahati,RNY,Rangiya Jn,SL,27,2,12,90.27,367,34.72%
66980,Hyderabad Deccan-Madurai Intercity Express,HYB,Hyderabad Deccan,MDU,Madurai,CC,51,6,5,76.83,365,21.85%
58556,Hazrat Nizamuddin-Bhubaneswar Superfast Express,NZM,Hazrat Nizamuddin,BBS,Bhubaneswar,CC,73,1,12,97.59,27,74.48%
96847,Delhi Jn-Secunderabad Mail Express,DLI,Delhi Jn,SC,Secunderabad,SL,58,3,3,75.29,53,67.44%
67640,Secunderabad-Hyderabad Deccan Superfast Express,SC,Secunderabad,HYB,Hyderabad Deccan,2A,111,0,10,69.08,438,5%
92074,Sealdah-Darbhanga Express,SDAH,Sealdah,DBG,Darbhanga,2A,11,6,5,61.99,487,13.33%
27009,Rourkela-Howrah Express,ROU,Rourkela,HWH,Howrah,SL,38,6,5,65.42,469,5%
61177,Dehradun-Chhatrapati Shivaji Maharaj Terminus Express,DDN,Dehradun,CSMT,Chhatrapati Shivaji Maharaj Terminus,CC,16,1,5,61.27,239,54.42%
82772,Kanyakumari-Amritsar Superfast Express,CAPE,Kanyakumari,ASR,Amritsar,2A,6,2,7,92.55,114,82.92%
49642,Vasco-da-Gama-Mysuru Intercity Express,VSG,Vasco-da-Gama,MYS,Mysuru,2S,40,5,9,86.33,10,80.62%
26755,Kochuveli-Dimapur Express,KCVL,Kochuveli,DMV,Dimapur,2A,51,3,10,97.15,14,81.69%
83968,Dehradun-Howrah Express,DDN,Dehradun,HWH,Howrah,3A,115,2,6,75.71,296,10.75%
69234,Dimapur-Thiruvananthapuram Central Superfast Express,DMV,Dimapur,TVC,Thiruvananthapuram Central,2A,120,6,11,65.8,0,60.32%
24486,Howrah-Kanpur Central Intercity Express,HWH,Howrah,CNB,Kanpur Central,3A,89,0,2,99.28,236,34.23%
74450,Jorhat Town-Kanyakumari Express,JRH,Jorhat Town,CAPE,Kanyakumari,CC,107,6,5,60.16,21,65.52%
38887,Ernakulam Jn-Thiruvananthapuram Central Express,ERS,Ernakulam Jn,TVC,Thiruvananthapuram Central,CC,45,0,6,90.67,22,81.54%
91284,Haridwar-Bangalore City Express,HW,Haridwar,SBC,Bangalore City,2A,108,6,12,95.71,259,16.52%
42997,Cuttack-Shalimar Express,CTC,Cuttack,SHM,Shalimar,2S,84,5,3,62.29,333,21.02%
44478,Kolkata-New Tinsukia Mail Express,KOAA,Kolkata,NTSK,New Tinsukia,3A,115,0,11,92.27,259,14.23%
12438,Firozpur Cantt-Shalimar Superfast Express,FZR,Firozpur Cantt,SHM,Shalimar,SL,4,6,7,80.58,174,68.17%
43972,Delhi Jn-Kolkata Intercity Express,DLI,Delhi Jn,KOAA,Kolkata,2A,22,4,6,94.82,117,69.05%
98129,Ahmedabad-Amritsar Mail Express,ADI,Ahmedabad,ASR,Amritsar,2A,80,1,9,82.57,135,49.75%
56143,Puri-Silchar Mail Express,PURI,Puri,SCL,Silchar,SL,111,0,3,64.67,308,8.61%
