train_no,train_name,source,source_name,destination,destination_name,class,quota,days_before_journey,day_of_week,month,is_festival,past_avg_waitlist,past_punctuality,confirmation_chance,cancellation_rate,punctuality_rate
15666,BG Express,NDLS,New Delhi,HWH,Howrah,1AC,GN,7,4,1,1,1,90.32,100.0,3.66,89.36
15910,Avadh Assam Express,KOAA,Kolkata,PNBE,Patna,3AC,TQ,1,2,12,0,168,68.22,50.08,49.28,71.43
12423,Rajdhani Express,DBRG,Dibrugarh,HWH,Howrah,SL,GN,7,5,3,0,189,82.66,61.28,40.04,78.94
12345,Saraighat Express,RNC,Ranchi,JP,Jaipur,SL,GN,2,2,6,0,14,72.87,100.0,1.55,72.42
15644,Kamakhya Express,ADI,Ahmedabad,AGTL,Agartala,2AC,GN,7,0,6,1,168,69.54,72.76,28.75,73.85
15666,BG Express,CSMT,Mumbai CST,VSKP,Visakhapatnam,2AC,TQ,5,2,7,0,163,80.91,61.87,36.16,85.84
12505,North East Express,CSMT,Mumbai CST,PNBE,Patna,2AC,TQ,6,0,10,1,166,84.15,69.69,32.41,80.87
12505,North East Express,KOAA,Kolkata,VSKP,Visakhapatnam,1AC,LD,3,4,5,1,161,72.42,63.54,36.99,71.38
12423,Rajdhani Express,GHY,Guwahati,AGTL,Agartala,3AC,TQ,7,1,3,1,12,71.07,100.0,0.0,67.26
15910,Avadh Assam Express,SBC,Bangalore,CSMT,Mumbai CST,3AC,GN,0,0,1,0,9,98.62,99.31,0.0,102.99
15960,Kanchanjunga Express,ADI,Ahmedabad,PNBE,Patna,SL,GN,1,4,9,0,40,82.31,85.21,9.83,86.18
15666,BG Express,NDLS,New Delhi,GHY,Guwahati,3AC,GN,4,5,5,0,56,92.2,99.0,1.38,92.76
12423,Rajdhani Express,MAS,Chennai Central,RNC,Ranchi,1AC,GN,0,2,1,1,22,77.95,95.84,5.35,81.83
15910,Avadh Assam Express,GHY,Guwahati,SCL,Silchar,2AC,TQ,0,1,9,0,175,63.64,48.64,48.14,61.9
15910,Avadh Assam Express,DBRG,Dibrugarh,ADI,Ahmedabad,SL,LD,0,5,1,0,76,75.41,75.16,22.18,71.33
12345,Saraighat Express,HWH,Howrah,SBC,Bangalore,SL,LD,4,1,2,0,146,71.93,67.57,33.76,72.92
12423,Rajdhani Express,PNBE,Patna,RNC,Ranchi,1AC,LD,0,1,7,0,153,83.62,55.65,44.8,84.36
15644,Kamakhya Express,KOAA,Kolkata,SCL,Silchar,SL,LD,4,5,3,0,72,93.48,84.35,14.82,98.12
15644,Kamakhya Express,ADI,Ahmedabad,JP,Jaipur,1AC,TQ,7,1,3,0,46,68.53,100.0,0.16,70.15
15960,Kanchanjunga Express,GHY,Guwahati,VSKP,Visakhapatnam,3AC,LD,0,1,7,1,14,89.36,91.75,3.33,92.38
12001,Shatabdi Express,MAS,Chennai Central,GHY,Guwahati,3AC,TQ,5,3,5,0,17,96.03,100.0,4.09,92.47
12345,Saraighat Express,JP,Jaipur,SBC,Bangalore,2AC,GN,7,3,2,0,43,72.3,100.0,3.57,76.43
15910,Avadh Assam Express,MAS,Chennai Central,JP,Jaipur,3AC,GN,6,0,8,1,7,94.88,100.0,4.4,93.47
15666,BG Express,GHY,Guwahati,NDLS,New Delhi,2AC,LD,4,1,8,0,168,70.33,70.65,30.67,68.86
12423,Rajdhani Express,PNBE,Patna,AGTL,Agartala,2AC,TQ,1,0,6,0,6,92.34,100.0,0.0,89.59
12501,Poorvottar Sampark Kranti,JP,Jaipur,BSB,Varanasi,3AC,LD,5,2,2,1,87,85.8,82.76,14.1,82.12
15910,Avadh Assam Express,SBC,Bangalore,GHY,Guwahati,SL,LD,0,5,5,0,4,95.47,100.0,2.38,96.91
12001,Shatabdi Express,SBC,Bangalore,RNC,Ranchi,1AC,LD,1,1,10,1,155,60.73,54.58,43.38,60.78
12378,Padatik Express,SDAH,Sealdah,CSMT,Mumbai CST,SL,GN,7,1,1,0,9,63.31,100.0,4.0,64.84
12505,North East Express,KOAA,Kolkata,SBC,Bangalore,3AC,TQ,0,1,11,0,90,72.95,63.81,33.26,69.79
15910,Avadh Assam Express,ADI,Ahmedabad,CSMT,Mumbai CST,1AC,TQ,6,0,7,0,37,70.38,100.0,3.32,67.49
15960,Kanchanjunga Express,HWH,Howrah,BBS,Bhubaneswar,3AC,GN,4,5,3,1,157,85.26,71.55,32.1,87.09
12423,Rajdhani Express,SDAH,Sealdah,RNC,Ranchi,SL,GN,1,5,9,1,37,70.11,95.06,4.04,73.93
12423,Rajdhani Express,SCL,Silchar,ADI,Ahmedabad,1AC,LD,0,5,9,0,4,97.26,100.0,0.0,93.11
12345,Saraighat Express,ADI,Ahmedabad,HWH,Howrah,SL,GN,5,4,9,1,98,80.56,95.0,3.27,81.95
15910,Avadh Assam Express,ADI,Ahmedabad,DBRG,Dibrugarh,3AC,TQ,1,1,8,1,85,62.08,77.18,23.88,61.1
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,SCL,Silchar,2AC,TQ,7,4,9,0,27,96.81,100.0,0.75,94.08
12001,Shatabdi Express,JP,Jaipur,ADI,Ahmedabad,SL,GN,5,1,12,1,139,67.3,81.48,19.62,64.89
12505,North East Express,CSMT,Mumbai CST,SDAH,Sealdah,2AC,LD,4,5,11,0,1,84.19,100.0,0.0,82.26
15666,BG Express,SCL,Silchar,BBS,Bhubaneswar,SL,GN,0,5,11,1,106,65.01,59.03,39.5,68.23
15960,Kanchanjunga Express,BSB,Varanasi,NDLS,New Delhi,SL,TQ,3,6,4,1,68,87.64,92.76,6.28,90.35
15960,Kanchanjunga Express,HWH,Howrah,ADI,Ahmedabad,2AC,LD,4,1,2,0,174,84.13,53.81,44.04,83.45
12505,North East Express,RNC,Ranchi,PNBE,Patna,3AC,GN,2,4,11,1,142,81.89,60.53,43.51,80.96
15960,Kanchanjunga Express,SBC,Bangalore,GHY,Guwahati,3AC,TQ,5,6,9,0,169,83.39,69.62,32.15,80.83
12345,Saraighat Express,BBS,Bhubaneswar,PNBE,Patna,3AC,LD,0,0,11,1,39,70.18,91.17,5.81,68.71
12423,Rajdhani Express,SBC,Bangalore,BBS,Bhubaneswar,3AC,LD,0,0,8,0,154,62.17,60.57,40.82,59.8
15910,Avadh Assam Express,GHY,Guwahati,NDLS,New Delhi,1AC,LD,1,4,2,1,195,97.96,39.73,62.89,102.35
12345,Saraighat Express,RNC,Ranchi,JP,Jaipur,1AC,LD,0,3,4,1,103,70.9,64.0,33.43,66.55
12423,Rajdhani Express,RNC,Ranchi,SBC,Bangalore,SL,LD,4,6,1,0,92,72.39,80.22,14.99,74.11
15666,BG Express,SBC,Bangalore,BBS,Bhubaneswar,SL,GN,7,5,12,1,122,68.69,79.55,20.51,71.23
15644,Kamakhya Express,NDLS,New Delhi,VSKP,Visakhapatnam,1AC,TQ,3,5,9,1,183,79.32,51.05,47.08,76.86
15666,BG Express,GHY,Guwahati,PNBE,Patna,SL,GN,6,6,6,1,194,78.1,50.82,49.58,81.97
12001,Shatabdi Express,VSKP,Visakhapatnam,ADI,Ahmedabad,3AC,GN,5,6,7,0,67,61.18,100.0,0.0,56.31
15960,Kanchanjunga Express,SDAH,Sealdah,NDLS,New Delhi,SL,TQ,5,1,10,0,103,90.92,74.98,21.08,88.35
12505,North East Express,SCL,Silchar,GHY,Guwahati,2AC,LD,0,6,3,0,32,92.32,84.79,20.17,90.48
15960,Kanchanjunga Express,VSKP,Visakhapatnam,JP,Jaipur,3AC,LD,3,4,9,0,83,97.92,78.49,21.36,95.67
12378,Padatik Express,KOAA,Kolkata,AGTL,Agartala,SL,TQ,4,5,4,0,3,86.27,100.0,0.0,84.28
15960,Kanchanjunga Express,DBRG,Dibrugarh,AGTL,Agartala,1AC,LD,3,5,6,1,124,69.7,74.64,24.11,70.12
15960,Kanchanjunga Express,SDAH,Sealdah,BBS,Bhubaneswar,SL,TQ,1,3,3,0,28,98.37,94.19,2.29,99.39
12505,North East Express,AGTL,Agartala,JP,Jaipur,SL,LD,3,2,11,1,124,93.94,66.56,38.05,92.09
12423,Rajdhani Express,MAS,Chennai Central,HWH,Howrah,SL,GN,7,6,3,0,54,87.28,100.0,4.41,91.76
12505,North East Express,CSMT,Mumbai CST,DBRG,Dibrugarh,1AC,TQ,4,2,10,0,87,69.92,94.72,5.18,68.07
12001,Shatabdi Express,SCL,Silchar,AGTL,Agartala,1AC,TQ,7,5,8,1,62,69.56,96.97,7.56,71.89
15666,BG Express,SDAH,Sealdah,HWH,Howrah,SL,LD,7,2,11,1,92,90.26,90.91,11.58,89.42
15666,BG Express,GHY,Guwahati,VSKP,Visakhapatnam,1AC,LD,3,6,1,0,55,73.29,82.57,19.26,74.37
15666,BG Express,NDLS,New Delhi,AGTL,Agartala,1AC,GN,7,6,7,0,72,84.95,100.0,3.19,83.09
15910,Avadh Assam Express,VSKP,Visakhapatnam,ADI,Ahmedabad,3AC,LD,2,5,5,0,93,70.97,78.33,18.44,69.64
15666,BG Express,JP,Jaipur,ADI,Ahmedabad,1AC,TQ,4,2,7,1,170,93.76,54.1,47.29,93.4
15910,Avadh Assam Express,CSMT,Mumbai CST,BSB,Varanasi,1AC,LD,7,2,7,0,100,62.78,84.99,16.46,60.6
12501,Poorvottar Sampark Kranti,SCL,Silchar,AGTL,Agartala,3AC,TQ,6,6,1,1,35,80.31,99.47,0.0,84.59
12378,Padatik Express,NDLS,New Delhi,HWH,Howrah,2AC,GN,1,1,2,0,102,77.8,78.76,24.5,73.7
12505,North East Express,AGTL,Agartala,MAS,Chennai Central,2AC,TQ,5,4,1,1,156,70.61,74.01,29.71,66.56
12378,Padatik Express,RNC,Ranchi,GHY,Guwahati,2AC,GN,5,0,9,1,78,71.56,93.87,9.05,69.13
12505,North East Express,DBRG,Dibrugarh,SCL,Silchar,1AC,LD,5,5,6,1,53,68.07,92.97,10.32,68.7
12345,Saraighat Express,RNC,Ranchi,SDAH,Sealdah,1AC,LD,3,1,10,1,187,81.63,61.29,43.66,79.23
12345,Saraighat Express,GHY,Guwahati,HWH,Howrah,1AC,GN,5,1,1,1,28,93.73,100.0,0.0,92.02
12378,Padatik Express,BSB,Varanasi,SBC,Bangalore,1AC,LD,1,2,9,0,159,96.37,56.58,41.24,91.55
12505,North East Express,NDLS,New Delhi,KOAA,Kolkata,SL,TQ,3,3,4,1,12,68.26,100.0,0.0,65.86
15960,Kanchanjunga Express,VSKP,Visakhapatnam,SBC,Bangalore,1AC,LD,5,3,5,0,124,93.5,77.21,25.25,90.1
15666,BG Express,GHY,Guwahati,RNC,Ranchi,1AC,LD,1,3,3,0,199,88.42,46.07,51.05,93.03
15910,Avadh Assam Express,HWH,Howrah,CSMT,Mumbai CST,SL,TQ,3,0,8,1,188,77.22,45.76,50.65,74.6
12378,Padatik Express,MAS,Chennai Central,RNC,Ranchi,2AC,LD,3,6,5,0,83,93.83,86.76,9.51,88.86
12001,Shatabdi Express,HWH,Howrah,KOAA,Kolkata,3AC,LD,4,3,12,0,45,60.4,96.56,1.14,63.08
15666,BG Express,SCL,Silchar,DBRG,Dibrugarh,3AC,GN,6,0,7,0,136,88.51,79.01,17.08,90.02
12423,Rajdhani Express,NDLS,New Delhi,RNC,Ranchi,1AC,GN,0,5,10,0,89,61.93,74.83,26.14,65.68
15960,Kanchanjunga Express,SCL,Silchar,VSKP,Visakhapatnam,2AC,GN,7,4,6,0,140,97.06,85.47,10.46,100.49
15644,Kamakhya Express,SBC,Bangalore,PNBE,Patna,2AC,TQ,5,6,6,1,36,86.22,100.0,4.77,81.83
15666,BG Express,SCL,Silchar,GHY,Guwahati,SL,GN,2,4,2,1,178,72.44,55.96,48.61,68.8
15960,Kanchanjunga Express,MAS,Chennai Central,NDLS,New Delhi,3AC,GN,0,3,8,0,199,60.36,34.72,64.47,56.14
12423,Rajdhani Express,JP,Jaipur,KOAA,Kolkata,1AC,LD,6,2,2,1,36,70.5,100.0,3.07,74.69
15666,BG Express,HWH,Howrah,VSKP,Visakhapatnam,3AC,TQ,1,5,12,1,121,79.42,60.51,34.81,78.05
15644,Kamakhya Express,AGTL,Agartala,PNBE,Patna,2AC,GN,3,1,4,0,184,83.66,54.93,42.0,85.73
15910,Avadh Assam Express,BSB,Varanasi,BBS,Bhubaneswar,2AC,LD,2,0,12,0,35,90.5,96.95,0.14,90.48
12378,Padatik Express,GHY,Guwahati,KOAA,Kolkata,3AC,TQ,6,2,6,1,105,71.14,89.78,12.69,73.08
12501,Poorvottar Sampark Kranti,BSB,Varanasi,JP,Jaipur,3AC,GN,6,0,2,1,131,91.85,84.38,19.65,90.72
12001,Shatabdi Express,JP,Jaipur,HWH,Howrah,3AC,GN,1,4,5,0,36,70.0,84.75,13.21,66.95
12505,North East Express,MAS,Chennai Central,AGTL,Agartala,SL,LD,5,0,2,1,146,78.88,79.82,25.09,83.81
12505,North East Express,SBC,Bangalore,CSMT,Mumbai CST,3AC,LD,1,2,8,0,54,79.82,77.12,22.62,83.88
12423,Rajdhani Express,GHY,Guwahati,PNBE,Patna,1AC,TQ,2,4,12,0,126,61.78,61.8,43.12,59.32
15960,Kanchanjunga Express,SDAH,Sealdah,BBS,Bhubaneswar,3AC,TQ,2,0,3,0,13,62.72,100.0,3.29,66.89
15960,Kanchanjunga Express,HWH,Howrah,SCL,Silchar,SL,LD,7,0,2,1,49,82.58,100.0,0.0,84.75
15644,Kamakhya Express,AGTL,Agartala,PNBE,Patna,3AC,LD,0,2,8,0,132,66.74,52.38,50.68,62.93
12423,Rajdhani Express,NDLS,New Delhi,GHY,Guwahati,3AC,GN,6,2,3,1,189,64.54,62.24,40.46,65.95
15910,Avadh Assam Express,DBRG,Dibrugarh,MAS,Chennai Central,1AC,LD,2,6,10,1,199,97.77,47.71,48.05,101.66
12378,Padatik Express,VSKP,Visakhapatnam,BBS,Bhubaneswar,2AC,LD,1,6,12,0,147,86.8,68.74,28.4,83.67
12378,Padatik Express,DBRG,Dibrugarh,MAS,Chennai Central,1AC,TQ,6,6,12,1,147,87.25,69.48,32.07,90.67
12001,Shatabdi Express,MAS,Chennai Central,SBC,Bangalore,3AC,TQ,1,2,2,0,11,92.53,89.87,12.47,96.33
15960,Kanchanjunga Express,AGTL,Agartala,GHY,Guwahati,1AC,TQ,3,4,10,0,171,89.66,59.7,39.44,87.91
12001,Shatabdi Express,PNBE,Patna,GHY,Guwahati,SL,GN,6,6,12,1,32,98.58,100.0,0.0,103.29
15910,Avadh Assam Express,BBS,Bhubaneswar,JP,Jaipur,1AC,TQ,2,0,4,1,88,69.36,74.95,28.86,74.18
15960,Kanchanjunga Express,DBRG,Dibrugarh,SCL,Silchar,SL,LD,2,0,12,1,5,69.79,99.62,4.15,68.07
15910,Avadh Assam Express,SCL,Silchar,ADI,Ahmedabad,2AC,TQ,6,5,11,1,164,84.89,78.49,23.3,82.44
12501,Poorvottar Sampark Kranti,SDAH,Sealdah,CSMT,Mumbai CST,1AC,LD,0,5,12,0,108,94.77,58.39,41.13,95.98
12505,North East Express,SBC,Bangalore,DBRG,Dibrugarh,SL,GN,7,2,10,1,18,61.24,100.0,0.0,60.34
12505,North East Express,SDAH,Sealdah,GHY,Guwahati,2AC,LD,3,5,1,0,73,82.93,86.68,8.81,81.31
15910,Avadh Assam Express,BBS,Bhubaneswar,BSB,Varanasi,2AC,GN,5,2,6,0,70,92.63,91.44,8.49,93.84
12378,Padatik Express,KOAA,Kolkata,MAS,Chennai Central,SL,LD,4,5,11,0,134,70.13,72.42,31.15,66.94
15910,Avadh Assam Express,PNBE,Patna,KOAA,Kolkata,2AC,TQ,7,6,10,0,153,80.81,81.88,20.18,85.18
12001,Shatabdi Express,JP,Jaipur,VSKP,Visakhapatnam,2AC,GN,0,4,8,0,64,78.11,75.61,23.98,79.51
12423,Rajdhani Express,NDLS,New Delhi,BBS,Bhubaneswar,3AC,GN,5,0,7,1,120,80.25,70.26,29.34,80.51
12001,Shatabdi Express,ADI,Ahmedabad,SCL,Silchar,3AC,TQ,7,6,11,0,200,77.96,61.07,36.68,76.75
15910,Avadh Assam Express,GHY,Guwahati,JP,Jaipur,3AC,GN,2,1,2,1,9,87.86,100.0,4.13,89.73
15666,BG Express,MAS,Chennai Central,HWH,Howrah,2AC,TQ,6,1,4,1,43,75.26,100.0,0.0,75.22
15960,Kanchanjunga Express,SDAH,Sealdah,BSB,Varanasi,3AC,LD,7,4,6,1,136,64.7,85.41,13.86,69.63
15644,Kamakhya Express,ADI,Ahmedabad,SCL,Silchar,SL,TQ,2,0,1,1,149,90.79,70.35,26.44,94.74
15644,Kamakhya Express,DBRG,Dibrugarh,KOAA,Kolkata,1AC,LD,4,1,3,0,20,81.32,100.0,4.34,81.53
12505,North East Express,BSB,Varanasi,KOAA,Kolkata,1AC,TQ,7,2,2,1,199,78.63,55.25,43.63,78.36
15960,Kanchanjunga Express,BBS,Bhubaneswar,JP,Jaipur,SL,LD,0,6,4,1,137,72.62,58.26,45.44,71.79
15666,BG Express,PNBE,Patna,JP,Jaipur,3AC,TQ,5,1,1,0,18,95.81,100.0,0.0,92.45
12001,Shatabdi Express,ADI,Ahmedabad,SCL,Silchar,1AC,GN,5,5,11,0,128,96.55,77.11,26.25,94.47
12345,Saraighat Express,HWH,Howrah,DBRG,Dibrugarh,2AC,LD,5,3,5,0,39,97.53,99.01,0.0,96.47
12423,Rajdhani Express,GHY,Guwahati,SBC,Bangalore,2AC,GN,6,5,8,1,178,98.44,73.5,30.02,94.45
12501,Poorvottar Sampark Kranti,RNC,Ranchi,PNBE,Patna,1AC,LD,3,2,1,0,166,98.5,52.27,49.72,99.99
15666,BG Express,ADI,Ahmedabad,AGTL,Agartala,3AC,LD,5,0,1,0,46,65.75,96.12,4.49,65.14
15644,Kamakhya Express,DBRG,Dibrugarh,PNBE,Patna,3AC,LD,0,1,11,1,26,83.13,97.24,2.92,78.44
15644,Kamakhya Express,NDLS,New Delhi,BBS,Bhubaneswar,2AC,TQ,0,0,12,1,95,79.78,65.53,30.31,79.56
12345,Saraighat Express,BBS,Bhubaneswar,VSKP,Visakhapatnam,1AC,TQ,4,2,1,1,111,91.6,84.86,13.91,89.65
15960,Kanchanjunga Express,BSB,Varanasi,VSKP,Visakhapatnam,3AC,LD,0,0,2,0,151,64.18,46.57,52.01,60.94
15910,Avadh Assam Express,GHY,Guwahati,DBRG,Dibrugarh,2AC,TQ,2,3,9,1,4,98.04,100.0,2.53,102.38
12345,Saraighat Express,KOAA,Kolkata,AGTL,Agartala,SL,GN,0,1,10,0,54,87.7,84.95,17.35,84.2
12378,Padatik Express,SCL,Silchar,CSMT,Mumbai CST,2AC,GN,4,6,5,0,155,68.24,69.31,34.39,65.2
15960,Kanchanjunga Express,AGTL,Agartala,DBRG,Dibrugarh,3AC,GN,1,1,4,0,34,95.52,86.16,10.18,97.05
12001,Shatabdi Express,ADI,Ahmedabad,RNC,Ranchi,3AC,LD,7,0,12,0,80,98.81,100.0,2.96,95.86
12378,Padatik Express,MAS,Chennai Central,HWH,Howrah,2AC,TQ,1,4,9,1,125,86.64,69.99,29.37,82.38
12423,Rajdhani Express,BBS,Bhubaneswar,PNBE,Patna,SL,TQ,5,0,9,1,10,81.83,100.0,0.0,80.3
15666,BG Express,AGTL,Agartala,KOAA,Kolkata,SL,LD,2,6,6,1,142,61.73,61.12,34.13,64.5
12001,Shatabdi Express,HWH,Howrah,SCL,Silchar,SL,GN,4,0,10,1,43,69.79,89.81,11.51,69.25
12501,Poorvottar Sampark Kranti,SDAH,Sealdah,BSB,Varanasi,2AC,TQ,0,6,10,1,166,68.3,47.04,57.27,70.63
12501,Poorvottar Sampark Kranti,GHY,Guwahati,SDAH,Sealdah,3AC,TQ,1,4,5,0,194,83.43,43.86,56.87,86.84
12378,Padatik Express,VSKP,Visakhapatnam,CSMT,Mumbai CST,3AC,LD,6,3,2,0,40,84.58,97.94,0.0,80.11
12001,Shatabdi Express,GHY,Guwahati,SBC,Bangalore,SL,GN,0,1,3,0,167,91.54,50.07,54.32,96.08
12378,Padatik Express,JP,Jaipur,ADI,Ahmedabad,SL,GN,6,5,10,0,142,60.06,66.86,31.38,55.16
15910,Avadh Assam Express,RNC,Ranchi,BBS,Bhubaneswar,1AC,TQ,3,2,9,1,1,93.99,100.0,0.48,90.74
15666,BG Express,SDAH,Sealdah,HWH,Howrah,1AC,LD,0,2,4,0,112,62.88,60.55,39.74,66.05
15960,Kanchanjunga Express,SDAH,Sealdah,PNBE,Patna,SL,GN,0,5,8,0,80,86.85,83.01,14.12,85.47
15644,Kamakhya Express,SDAH,Sealdah,MAS,Chennai Central,1AC,LD,4,1,2,1,60,64.55,98.22,0.0,69.49
12501,Poorvottar Sampark Kranti,MAS,Chennai Central,BSB,Varanasi,1AC,LD,6,1,2,1,32,67.28,100.0,0.0,64.41
12345,Saraighat Express,RNC,Ranchi,ADI,Ahmedabad,SL,LD,5,2,8,1,60,72.16,89.91,12.5,72.3
15644,Kamakhya Express,BBS,Bhubaneswar,KOAA,Kolkata,SL,GN,5,2,3,0,48,79.56,99.73,2.59,84.44
12345,Saraighat Express,KOAA,Kolkata,SDAH,Sealdah,2AC,LD,1,1,12,1,176,96.79,45.28,52.29,99.37
12505,North East Express,JP,Jaipur,BSB,Varanasi,2AC,LD,0,4,5,1,70,78.09,74.09,25.77,77.63
15960,Kanchanjunga Express,ADI,Ahmedabad,MAS,Chennai Central,2AC,TQ,0,6,6,1,33,84.52,83.18,12.35,82.23
15960,Kanchanjunga Express,ADI,Ahmedabad,VSKP,Visakhapatnam,1AC,GN,4,6,6,0,189,92.97,55.24,40.04,93.01
12001,Shatabdi Express,DBRG,Dibrugarh,CSMT,Mumbai CST,1AC,TQ,5,5,9,1,169,79.46,71.45,26.48,83.99
12378,Padatik Express,VSKP,Visakhapatnam,BBS,Bhubaneswar,1AC,GN,7,1,5,0,117,78.61,80.22,24.76,77.46
12001,Shatabdi Express,VSKP,Visakhapatnam,SBC,Bangalore,1AC,TQ,2,6,1,0,42,67.47,85.45,17.21,67.68
12423,Rajdhani Express,MAS,Chennai Central,JP,Jaipur,SL,GN,6,2,10,1,87,80.59,82.68,12.44,80.53
15910,Avadh Assam Express,BSB,Varanasi,PNBE,Patna,2AC,LD,3,0,6,1,45,76.0,95.45,6.18,79.83
15910,Avadh Assam Express,BBS,Bhubaneswar,CSMT,Mumbai CST,3AC,TQ,7,2,9,0,160,97.02,76.53,23.64,96.09
12001,Shatabdi Express,JP,Jaipur,CSMT,Mumbai CST,1AC,GN,1,2,12,1,86,93.77,70.87,33.94,92.86
12423,Rajdhani Express,HWH,Howrah,NDLS,New Delhi,SL,TQ,5,3,9,1,114,98.66,84.67,18.2,100.72
12345,Saraighat Express,GHY,Guwahati,AGTL,Agartala,2AC,TQ,6,3,9,0,181,65.95,58.33,37.18,62.56
15644,Kamakhya Express,PNBE,Patna,DBRG,Dibrugarh,2AC,GN,2,3,1,1,97,93.2,78.97,19.26,91.98
15666,BG Express,SBC,Bangalore,VSKP,Visakhapatnam,1AC,LD,3,4,10,1,131,88.89,75.78,27.12,85.73
15666,BG Express,ADI,Ahmedabad,BSB,Varanasi,2AC,TQ,7,5,11,0,175,82.73,72.17,28.64,82.4
12345,Saraighat Express,DBRG,Dibrugarh,KOAA,Kolkata,3AC,GN,3,0,2,0,147,73.54,73.67,24.75,70.62
12423,Rajdhani Express,PNBE,Patna,AGTL,Agartala,2AC,TQ,1,1,4,1,170,71.79,50.88,49.83,76.42
12001,Shatabdi Express,HWH,Howrah,NDLS,New Delhi,2AC,LD,5,4,4,0,65,88.14,100.0,0.27,90.83
12345,Saraighat Express,PNBE,Patna,MAS,Chennai Central,2AC,GN,4,1,6,1,122,75.56,77.25,23.87,77.86
12001,Shatabdi Express,KOAA,Kolkata,BBS,Bhubaneswar,3AC,TQ,0,0,3,1,61,61.63,77.54,22.86,60.94
12423,Rajdhani Express,BSB,Varanasi,AGTL,Agartala,3AC,LD,0,0,3,0,24,97.26,94.8,6.35,92.5
15644,Kamakhya Express,HWH,Howrah,RNC,Ranchi,2AC,GN,4,1,12,1,87,65.94,85.63,10.57,69.47
15910,Avadh Assam Express,VSKP,Visakhapatnam,HWH,Howrah,1AC,GN,5,3,1,0,187,89.6,53.15,44.03,91.62
12505,North East Express,AGTL,Agartala,VSKP,Visakhapatnam,1AC,TQ,2,3,6,1,69,94.48,90.54,5.89,93.45
12423,Rajdhani Express,SBC,Bangalore,CSMT,Mumbai CST,3AC,GN,0,2,2,1,24,72.14,83.36,17.59,74.59
12501,Poorvottar Sampark Kranti,RNC,Ranchi,BBS,Bhubaneswar,1AC,TQ,2,2,9,0,11,81.94,100.0,0.71,86.12
12378,Padatik Express,HWH,Howrah,GHY,Guwahati,SL,GN,3,2,8,1,76,78.54,76.45,18.71,74.67
12345,Saraighat Express,VSKP,Visakhapatnam,MAS,Chennai Central,SL,LD,1,0,5,0,1,86.05,100.0,3.04,82.45
12345,Saraighat Express,MAS,Chennai Central,GHY,Guwahati,1AC,TQ,7,2,9,1,44,76.56,100.0,0.0,71.63
12001,Shatabdi Express,PNBE,Patna,DBRG,Dibrugarh,SL,GN,1,2,11,0,116,95.82,59.64,36.31,95.48
12378,Padatik Express,AGTL,Agartala,DBRG,Dibrugarh,SL,TQ,0,6,7,1,39,82.08,82.88,21.71,81.32
12378,Padatik Express,DBRG,Dibrugarh,NDLS,New Delhi,3AC,LD,5,6,3,1,122,67.98,86.26,9.98,72.25
12001,Shatabdi Express,JP,Jaipur,ADI,Ahmedabad,2AC,GN,4,6,4,0,110,74.88,79.22,19.47,72.28
12345,Saraighat Express,KOAA,Kolkata,RNC,Ranchi,SL,TQ,5,6,6,0,97,76.64,93.73,8.82,75.04
12378,Padatik Express,HWH,Howrah,RNC,Ranchi,3AC,LD,5,5,6,1,64,65.25,93.26,3.42,61.71
12345,Saraighat Express,SCL,Silchar,DBRG,Dibrugarh,2AC,GN,3,2,11,0,170,98.37,49.6,52.19,99.84
12001,Shatabdi Express,ADI,Ahmedabad,SBC,Bangalore,2AC,TQ,4,4,8,1,22,62.62,100.0,0.0,57.92
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,AGTL,Agartala,SL,LD,3,3,11,0,174,74.38,59.83,36.27,74.74
15960,Kanchanjunga Express,VSKP,Visakhapatnam,ADI,Ahmedabad,2AC,GN,3,3,6,1,1,86.96,100.0,0.0,88.51
15960,Kanchanjunga Express,BSB,Varanasi,SCL,Silchar,1AC,TQ,0,6,2,0,77,60.65,74.06,21.03,60.42
12378,Padatik Express,NDLS,New Delhi,DBRG,Dibrugarh,1AC,LD,4,4,1,1,181,86.2,56.32,43.45,89.9
12378,Padatik Express,SBC,Bangalore,HWH,Howrah,3AC,LD,7,2,4,0,3,71.7,100.0,2.32,71.5
12505,North East Express,BBS,Bhubaneswar,GHY,Guwahati,1AC,GN,0,4,7,1,58,98.44,82.36,15.54,103.11
15666,BG Express,JP,Jaipur,CSMT,Mumbai CST,2AC,LD,7,0,3,1,61,72.3,100.0,0.0,74.55
12501,Poorvottar Sampark Kranti,AGTL,Agartala,PNBE,Patna,SL,LD,5,2,7,1,84,85.95,92.78,7.16,86.56
15644,Kamakhya Express,BSB,Varanasi,NDLS,New Delhi,SL,GN,6,5,9,0,97,67.85,86.75,8.6,69.83
12505,North East Express,RNC,Ranchi,PNBE,Patna,2AC,GN,7,5,8,0,38,93.43,100.0,2.92,92.46
15666,BG Express,DBRG,Dibrugarh,BBS,Bhubaneswar,1AC,LD,2,0,11,0,162,66.66,62.42,34.96,65.2
12505,North East Express,KOAA,Kolkata,JP,Jaipur,3AC,TQ,5,0,11,0,98,62.29,79.36,21.29,58.86
12001,Shatabdi Express,AGTL,Agartala,NDLS,New Delhi,SL,LD,4,3,1,1,67,67.64,93.54,10.5,64.39
