train_no,train_name,source,source_name,destination,destination_name
12505,North East Express,JP,Jaipur,SCL,Silchar
12001,Shatabdi Express,AGTL,Agartala,VSKP,Visakhapatnam
12501,Poorvottar Sampark Kranti,MAS,Chennai Central,VSKP,Visakhapatnam
12378,Padatik Express,HWH,Howrah,GHY,Guwahati
12501,Poorvottar Sampark Kranti,SCL,Silchar,JP,Jaipur
15960,Kanchanjunga Express,VSKP,Visakhapatnam,NDLS,New Delhi
12001,Shatabdi Express,HWH,Howrah,KOAA,Kolkata
15960,Kanchanjunga Express,SBC,Bangalore,KOAA,Kolkata
15666,BG Express,BSB,Varanasi,AGTL,Agartala
15644,Kamakhya Express,SDAH,Sealdah,SCL,Silchar
12423,Rajdhani Express,BBS,Bhubaneswar,BSB,Varanasi
12378,Padatik Express,AGTL,Agartala,NDLS,New Delhi
12378,Padatik Express,MAS,Chennai Central,NDLS,New Delhi
15960,Kanchanjunga Express,SDAH,Sealdah,RNC,Ranchi
12001,Shatabdi Express,ADI,Ahmedabad,SBC,Bangalore
12501,Poorvottar Sampark Kranti,PNBE,Patna,MAS,Chennai Central
12505,North East Express,AGTL,Agartala,BBS,Bhubaneswar
12501,Poorvottar Sampark Kranti,JP,Jaipur,BBS,Bhubaneswar
15910,Avadh Assam Express,RNC,Ranchi,NDLS,New Delhi
12345,Saraighat Express,KOAA,Kolkata,SCL,Silchar
12001,Shatabdi Express,KOAA,Kolkata,SCL,Silchar
12345,Saraighat Express,DBRG,Dibrugarh,AGTL,Agartala
15960,Kanchanjunga Express,DBRG,Dibrugarh,CSMT,Mumbai CST
12423,Rajdhani Express,GHY,Guwahati,KOAA,Kolkata
12501,Poorvottar Sampark Kranti,BSB,Varanasi,RNC,Ranchi
15666,BG Express,PNBE,Patna,AGTL,Agartala
12001,Shatabdi Express,KOAA,Kolkata,JP,Jaipur
15960,Kanchanjunga Express,GHY,Guwahati,JP,Jaipur
15910,Avadh Assam Express,PNBE,Patna,KOAA,Kolkata
12345,Saraighat Express,PNBE,Patna,AGTL,Agartala
12501,Poorvottar Sampark Kranti,BBS,Bhubaneswar,RNC,Ranchi
12501,Poorvottar Sampark Kranti,GHY,Guwahati,AGTL,Agartala
12505,North East Express,ADI,Ahmedabad,CSMT,Mumbai CST
15644,Kamakhya Express,RNC,Ranchi,AGTL,Agartala
15960,Kanchanjunga Express,BSB,Varanasi,CSMT,Mumbai CST
15644,Kamakhya Express,KOAA,Kolkata,VSKP,Visakhapatnam
12505,North East Express,BBS,Bhubaneswar,SBC,Bangalore
15644,Kamakhya Express,AGTL,Agartala,DBRG,Dibrugarh
15910,Avadh Assam Express,NDLS,New Delhi,SCL,Silchar
12501,Poorvottar Sampark Kranti,AGTL,Agartala,SDAH,Sealdah
12501,Poorvottar Sampark Kranti,SDAH,Sealdah,MAS,Chennai Central
15960,Kanchanjunga Express,BBS,Bhubaneswar,DBRG,Dibrugarh
12378,Padatik Express,JP,Jaipur,PNBE,Patna
15960,Kanchanjunga Express,HWH,Howrah,PNBE,Patna
15910,Avadh Assam Express,NDLS,New Delhi,HWH,Howrah
15960,Kanchanjunga Express,PNBE,Patna,NDLS,New Delhi
12423,Rajdhani Express,CSMT,Mumbai CST,RNC,Ranchi
15644,Kamakhya Express,RNC,Ranchi,CSMT,Mumbai CST
15666,BG Express,NDLS,New Delhi,HWH,Howrah
15666,BG Express,VSKP,Visakhapatnam,RNC,Ranchi
12345,Saraighat Express,SCL,Silchar,DBRG,Dibrugarh
15644,Kamakhya Express,KOAA,Kolkata,RNC,Ranchi
15960,Kanchanjunga Express,SCL,Silchar,DBRG,Dibrugarh
15960,Kanchanjunga Express,RNC,Ranchi,ADI,Ahmedabad
15666,BG Express,PNBE,Patna,JP,Jaipur
15644,Kamakhya Express,SBC,Bangalore,NDLS,New Delhi
12501,Poorvottar Sampark Kranti,SCL,Silchar,KOAA,Kolkata
15666,BG Express,ADI,Ahmedabad,JP,Jaipur
12501,Poorvottar Sampark Kranti,AGTL,Agartala,JP,Jaipur
15910,Avadh Assam Express,ADI,Ahmedabad,HWH,Howrah
12378,Padatik Express,BBS,Bhubaneswar,PNBE,Patna
12423,Rajdhani Express,DBRG,Dibrugarh,SDAH,Sealdah
15910,Avadh Assam Express,SCL,Silchar,NDLS,New Delhi
12378,Padatik Express,AGTL,Agartala,HWH,Howrah
15666,BG Express,JP,Jaipur,VSKP,Visakhapatnam
15960,Kanchanjunga Express,VSKP,Visakhapatnam,RNC,Ranchi
15644,Kamakhya Express,BSB,Varanasi,SCL,Silchar
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,JP,Jaipur
12378,Padatik Express,KOAA,Kolkata,NDLS,New Delhi
12001,Shatabdi Express,RNC,Ranchi,BSB,Varanasi
15960,Kanchanjunga Express,DBRG,Dibrugarh,KOAA,Kolkata
12505,North East Express,JP,Jaipur,DBRG,Dibrugarh
12423,Rajdhani Express,GHY,Guwahati,DBRG,Dibrugarh
12378,Padatik Express,HWH,Howrah,PNBE,Patna
12423,Rajdhani Express,CSMT,Mumbai CST,AGTL,Agartala
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,BBS,Bhubaneswar
15666,BG Express,MAS,Chennai Central,HWH,Howrah
12423,Rajdhani Express,ADI,Ahmedabad,RNC,Ranchi
15960,Kanchanjunga Express,VSKP,Visakhapatnam,BBS,Bhubaneswar
15910,Avadh Assam Express,RNC,Ranchi,CSMT,Mumbai CST
12345,Saraighat Express,BBS,Bhubaneswar,RNC,Ranchi
12001,Shatabdi Express,SCL,Silchar,HWH,Howrah
15910,Avadh Assam Express,DBRG,Dibrugarh,RNC,Ranchi
12423,Rajdhani Express,ADI,Ahmedabad,GHY,Guwahati
12505,North East Express,VSKP,Visakhapatnam,SBC,Bangalore
15960,Kanchanjunga Express,NDLS,New Delhi,PNBE,Patna
12423,Rajdhani Express,PNBE,Patna,RNC,Ranchi
12378,Padatik Express,PNBE,Patna,SCL,Silchar
12378,Padatik Express,SCL,Silchar,HWH,Howrah
12378,Padatik Express,SCL,Silchar,GHY,Guwahati
12423,Rajdhani Express,JP,Jaipur,HWH,Howrah
12345,Saraighat Express,SDAH,Sealdah,MAS,Chennai Central
12001,Shatabdi Express,SCL,Silchar,CSMT,Mumbai CST
12423,Rajdhani Express,RNC,Ranchi,BBS,Bhubaneswar
15666,BG Express,HWH,Howrah,BSB,Varanasi
12001,Shatabdi Express,GHY,Guwahati,SDAH,Sealdah
12505,North East Express,ADI,Ahmedabad,HWH,Howrah
15644,Kamakhya Express,MAS,Chennai Central,GHY,Guwahati
12423,Rajdhani Express,ADI,Ahmedabad,KOAA,Kolkata
12345,Saraighat Express,SDAH,Sealdah,CSMT,Mumbai CST
15910,Avadh Assam Express,NDLS,New Delhi,BSB,Varanasi
15644,Kamakhya Express,KOAA,Kolkata,SDAH,Sealdah
15666,BG Express,GHY,Guwahati,VSKP,Visakhapatnam
12378,Padatik Express,BBS,Bhubaneswar,ADI,Ahmedabad
15960,Kanchanjunga Express,KOAA,Kolkata,JP,Jaipur
12001,Shatabdi Express,GHY,Guwahati,CSMT,Mumbai CST
15644,Kamakhya Express,SCL,Silchar,MAS,Chennai Central
12378,Padatik Express,BBS,Bhubaneswar,SDAH,Sealdah
15666,BG Express,DBRG,Dibrugarh,SCL,Silchar
12378,Padatik Express,BBS,Bhubaneswar,BSB,Varanasi
12505,North East Express,ADI,Ahmedabad,DBRG,Dibrugarh
15666,BG Express,SBC,Bangalore,RNC,Ranchi
12378,Padatik Express,MAS,Chennai Central,BSB,Varanasi
12501,Poorvottar Sampark Kranti,KOAA,Kolkata,BSB,Varanasi
12345,Saraighat Express,HWH,Howrah,KOAA,Kolkata
12345,Saraighat Express,SBC,Bangalore,NDLS,New Delhi
15644,Kamakhya Express,KOAA,Kolkata,SBC,Bangalore
12423,Rajdhani Express,BBS,Bhubaneswar,MAS,Chennai Central
12378,Padatik Express,JP,Jaipur,SDAH,Sealdah
12001,Shatabdi Express,NDLS,New Delhi,AGTL,Agartala
12505,North East Express,SDAH,Sealdah,GHY,Guwahati
15666,BG Express,MAS,Chennai Central,AGTL,Agartala
15644,Kamakhya Express,SBC,Bangalore,SDAH,Sealdah
12505,North East Express,VSKP,Visakhapatnam,CSMT,Mumbai CST
15666,BG Express,SCL,Silchar,JP,Jaipur
15910,Avadh Assam Express,SBC,Bangalore,ADI,Ahmedabad
12423,Rajdhani Express,PNBE,Patna,HWH,Howrah
12378,Padatik Express,HWH,Howrah,KOAA,Kolkata
15960,Kanchanjunga Express,KOAA,Kolkata,SCL,Silchar
15910,Avadh Assam Express,CSMT,Mumbai CST,AGTL,Agartala
12378,Padatik Express,GHY,Guwahati,JP,Jaipur
12501,Poorvottar Sampark Kranti,JP,Jaipur,CSMT,Mumbai CST
12423,Rajdhani Express,KOAA,Kolkata,MAS,Chennai Central
15960,Kanchanjunga Express,PNBE,Patna,CSMT,Mumbai CST
12505,North East Express,GHY,Guwahati,SCL,Silchar
12001,Shatabdi Express,DBRG,Dibrugarh,SCL,Silchar
12501,Poorvottar Sampark Kranti,SDAH,Sealdah,NDLS,New Delhi
12001,Shatabdi Express,SBC,Bangalore,SCL,Silchar
15644,Kamakhya Express,HWH,Howrah,AGTL,Agartala
15910,Avadh Assam Express,CSMT,Mumbai CST,JP,Jaipur
15910,Avadh Assam Express,SDAH,Sealdah,PNBE,Patna
12378,Padatik Express,HWH,Howrah,ADI,Ahmedabad
12001,Shatabdi Express,DBRG,Dibrugarh,PNBE,Patna
15644,Kamakhya Express,AGTL,Agartala,SBC,Bangalore
15960,Kanchanjunga Express,SBC,Bangalore,JP,Jaipur
12378,Padatik Express,CSMT,Mumbai CST,DBRG,Dibrugarh
12001,Shatabdi Express,HWH,Howrah,JP,Jaipur
15910,Avadh Assam Express,RNC,Ranchi,AGTL,Agartala
15960,Kanchanjunga Express,CSMT,Mumbai CST,SBC,Bangalore
15644,Kamakhya Express,SBC,Bangalore,SCL,Silchar
15666,BG Express,MAS,Chennai Central,JP,Jaipur
12505,North East Express,BBS,Bhubaneswar,GHY,Guwahati
12378,Padatik Express,CSMT,Mumbai CST,SDAH,Sealdah
15960,Kanchanjunga Express,SDAH,Sealdah,HWH,Howrah
12501,Poorvottar Sampark Kranti,DBRG,Dibrugarh,GHY,Guwahati
12423,Rajdhani Express,SBC,Bangalore,BSB,Varanasi
15910,Avadh Assam Express,HWH,Howrah,AGTL,Agartala
12378,Padatik Express,KOAA,Kolkata,MAS,Chennai Central
12001,Shatabdi Express,BBS,Bhubaneswar,NDLS,New Delhi
12345,Saraighat Express,SCL,Silchar,BBS,Bhubaneswar
15644,Kamakhya Express,AGTL,Agartala,SCL,Silchar
15666,BG Express,SCL,Silchar,GHY,Guwahati
15960,Kanchanjunga Express,GHY,Guwahati,BBS,Bhubaneswar
12423,Rajdhani Express,JP,Jaipur,NDLS,New Delhi
12423,Rajdhani Express,MAS,Chennai Central,BBS,Bhubaneswar
12001,Shatabdi Express,DBRG,Dibrugarh,GHY,Guwahati
15666,BG Express,RNC,Ranchi,MAS,Chennai Central
15910,Avadh Assam Express,SCL,Silchar,AGTL,Agartala
12345,Saraighat Express,SBC,Bangalore,CSMT,Mumbai CST
12001,Shatabdi Express,AGTL,Agartala,BSB,Varanasi
12378,Padatik Express,GHY,Guwahati,DBRG,Dibrugarh
15666,BG Express,SBC,Bangalore,AGTL,Agartala
12505,North East Express,BBS,Bhubaneswar,PNBE,Patna
12378,Padatik Express,ADI,Ahmedabad,NDLS,New Delhi
12505,North East Express,ADI,Ahmedabad,PNBE,Patna
15644,Kamakhya Express,RNC,Ranchi,NDLS,New Delhi
12378,Padatik Express,GHY,Guwahati,BBS,Bhubaneswar
12378,Padatik Express,AGTL,Agartala,SBC,Bangalore
12423,Rajdhani Express,GHY,Guwahati,SBC,Bangalore
12501,Poorvottar Sampark Kranti,SDAH,Sealdah,SBC,Bangalore
12345,Saraighat Express,CSMT,Mumbai CST,NDLS,New Delhi
15644,Kamakhya Express,HWH,Howrah,NDLS,New Delhi
12505,North East Express,BBS,Bhubaneswar,NDLS,New Delhi
15666,BG Express,BBS,Bhubaneswar,CSMT,Mumbai CST
12378,Padatik Express,SBC,Bangalore,PNBE,Patna
12345,Saraighat Express,JP,Jaipur,HWH,Howrah
12423,Rajdhani Express,ADI,Ahmedabad,NDLS,New Delhi
12345,Saraighat Express,NDLS,New Delhi,PNBE,Patna
12423,Rajdhani Express,AGTL,Agartala,GHY,Guwahati
12001,Shatabdi Express,GHY,Guwahati,ADI,Ahmedabad
12501,Poorvottar Sampark Kranti,CSMT,Mumbai CST,BBS,Bhubaneswar
12001,Shatabdi Express,BSB,Varanasi,HWH,Howrah
12378,Padatik Express,BSB,Varanasi,MAS,Chennai Central
12505,North East Express,ADI,Ahmedabad,GHY,Guwahati
12423,Rajdhani Express,SBC,Bangalore,ADI,Ahmedabad
15666,BG Express,SDAH,Sealdah,RNC,Ranchi
15644,Kamakhya Express,SCL,Silchar,CSMT,Mumbai CST
15666,BG Express,DBRG,Dibrugarh,NDLS,New Delhi
12423,Rajdhani Express,RNC,Ranchi,CSMT,Mumbai CST
12505,North East Express,KOAA,Kolkata,VSKP,Visakhapatnam
12423,Rajdhani Express,PNBE,Patna,NDLS,New Delhi
15666,BG Express,BSB,Varanasi,PNBE,Patna
15910,Avadh Assam Express,NDLS,New Delhi,VSKP,Visakhapatnam
12001,Shatabdi Express,SDAH,Sealdah,NDLS,New Delhi
12345,Saraighat Express,VSKP,Visakhapatnam,RNC,Ranchi
12345,Saraighat Express,RNC,Ranchi,NDLS,New Delhi
12001,Shatabdi Express,NDLS,New Delhi,SCL,Silchar
15960,Kanchanjunga Express,RNC,Ranchi,KOAA,Kolkata
15910,Avadh Assam Express,BBS,Bhubaneswar,CSMT,Mumbai CST
12378,Padatik Express,ADI,Ahmedabad,BBS,Bhubaneswar
15910,Avadh Assam Express,JP,Jaipur,RNC,Ranchi
15910,Avadh Assam Express,MAS,Chennai Central,JP,Jaipur
15960,Kanchanjunga Express,BBS,Bhubaneswar,KOAA,Kolkata
12505,North East Express,NDLS,New Delhi,KOAA,Kolkata
15910,Avadh Assam Express,PNBE,Patna,MAS,Chennai Central
15960,Kanchanjunga Express,GHY,Guwahati,HWH,Howrah
12001,Shatabdi Express,SCL,Silchar,PNBE,Patna
12505,North East Express,ADI,Ahmedabad,VSKP,Visakhapatnam
15960,Kanchanjunga Express,PNBE,Patna,GHY,Guwahati
15666,BG Express,PNBE,Patna,VSKP,Visakhapatnam
15960,Kanchanjunga Express,KOAA,Kolkata,ADI,Ahmedabad
12345,Saraighat Express,RNC,Ranchi,PNBE,Patna
12505,North East Express,JP,Jaipur,VSKP,Visakhapatnam
15960,Kanchanjunga Express,ADI,Ahmedabad,SCL,Silchar
12501,Poorvottar Sampark Kranti,RNC,Ranchi,BSB,Varanasi
15666,BG Express,PNBE,Patna,BBS,Bhubaneswar
15644,Kamakhya Express,HWH,Howrah,CSMT,Mumbai CST
12423,Rajdhani Express,JP,Jaipur,KOAA,Kolkata
12423,Rajdhani Express,BSB,Varanasi,CSMT,Mumbai CST
12378,Padatik Express,SDAH,Sealdah,BBS,Bhubaneswar
15910,Avadh Assam Express,GHY,Guwahati,SCL,Silchar
12378,Padatik Express,ADI,Ahmedabad,RNC,Ranchi
12501,Poorvottar Sampark Kranti,SDAH,Sealdah,BBS,Bhubaneswar
15960,Kanchanjunga Express,SCL,Silchar,CSMT,Mumbai CST
15960,Kanchanjunga Express,DBRG,Dibrugarh,GHY,Guwahati
15960,Kanchanjunga Express,BSB,Varanasi,KOAA,Kolkata
15666,BG Express,MAS,Chennai Central,VSKP,Visakhapatnam
12501,Poorvottar Sampark Kranti,HWH,Howrah,JP,Jaipur
15910,Avadh Assam Express,BSB,Varanasi,DBRG,Dibrugarh
15910,Avadh Assam Express,BSB,Varanasi,BBS,Bhubaneswar
12378,Padatik Express,AGTL,Agartala,ADI,Ahmedabad
12501,Poorvottar Sampark Kranti,SBC,Bangalore,GHY,Guwahati
12505,North East Express,HWH,Howrah,SBC,Bangalore
12501,Poorvottar Sampark Kranti,SBC,Bangalore,BBS,Bhubaneswar
12501,Poorvottar Sampark Kranti,DBRG,Dibrugarh,SCL,Silchar
15644,Kamakhya Express,SCL,Silchar,PNBE,Patna
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,RNC,Ranchi
12501,Poorvottar Sampark Kranti,MAS,Chennai Central,SDAH,Sealdah
15666,BG Express,DBRG,Dibrugarh,SBC,Bangalore
12378,Padatik Express,NDLS,New Delhi,MAS,Chennai Central
12423,Rajdhani Express,MAS,Chennai Central,BSB,Varanasi
12505,North East Express,SDAH,Sealdah,HWH,Howrah
15644,Kamakhya Express,PNBE,Patna,MAS,Chennai Central
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,NDLS,New Delhi
12501,Poorvottar Sampark Kranti,CSMT,Mumbai CST,KOAA,Kolkata
12345,Saraighat Express,KOAA,Kolkata,NDLS,New Delhi
12345,Saraighat Express,ADI,Ahmedabad,CSMT,Mumbai CST
12378,Padatik Express,BSB,Varanasi,CSMT,Mumbai CST
12423,Rajdhani Express,JP,Jaipur,AGTL,Agartala
15960,Kanchanjunga Express,SCL,Silchar,RNC,Ranchi
12345,Saraighat Express,HWH,Howrah,RNC,Ranchi
15666,BG Express,MAS,Chennai Central,GHY,Guwahati
15960,Kanchanjunga Express,NDLS,New Delhi,CSMT,Mumbai CST
15960,Kanchanjunga Express,NDLS,New Delhi,SDAH,Sealdah
15910,Avadh Assam Express,BSB,Varanasi,HWH,Howrah
12505,North East Express,GHY,Guwahati,NDLS,New Delhi
15910,Avadh Assam Express,JP,Jaipur,NDLS,New Delhi
12345,Saraighat Express,SDAH,Sealdah,JP,Jaipur
12345,Saraighat Express,CSMT,Mumbai CST,BBS,Bhubaneswar
12501,Poorvottar Sampark Kranti,BBS,Bhubaneswar,DBRG,Dibrugarh
12501,Poorvottar Sampark Kranti,KOAA,Kolkata,SBC,Bangalore
15910,Avadh Assam Express,SBC,Bangalore,KOAA,Kolkata
15910,Avadh Assam Express,AGTL,Agartala,KOAA,Kolkata
12001,Shatabdi Express,VSKP,Visakhapatnam,HWH,Howrah
12345,Saraighat Express,CSMT,Mumbai CST,MAS,Chennai Central
12001,Shatabdi Express,ADI,Ahmedabad,BBS,Bhubaneswar
15960,Kanchanjunga Express,GHY,Guwahati,RNC,Ranchi
12001,Shatabdi Express,PNBE,Patna,ADI,Ahmedabad
12505,North East Express,MAS,Chennai Central,SCL,Silchar
12345,Saraighat Express,VSKP,Visakhapatnam,AGTL,Agartala
12501,Poorvottar Sampark Kranti,BBS,Bhubaneswar,ADI,Ahmedabad
12423,Rajdhani Express,HWH,Howrah,DBRG,Dibrugarh
15666,BG Express,HWH,Howrah,JP,Jaipur
12378,Padatik Express,KOAA,Kolkata,RNC,Ranchi
12378,Padatik Express,ADI,Ahmedabad,GHY,Guwahati
12001,Shatabdi Express,MAS,Chennai Central,NDLS,New Delhi
12378,Padatik Express,AGTL,Agartala,MAS,Chennai Central
15644,Kamakhya Express,SCL,Silchar,HWH,Howrah
15666,BG Express,ADI,Ahmedabad,SBC,Bangalore
12501,Poorvottar Sampark Kranti,ADI,Ahmedabad,HWH,Howrah
12345,Saraighat Express,BSB,Varanasi,BBS,Bhubaneswar
12505,North East Express,PNBE,Patna,AGTL,Agartala
12378,Padatik Express,BSB,Varanasi,PNBE,Patna
15910,Avadh Assam Express,AGTL,Agartala,ADI,Ahmedabad
15644,Kamakhya Express,CSMT,Mumbai CST,HWH,Howrah
12378,Padatik Express,SDAH,Sealdah,HWH,Howrah
12505,North East Express,SBC,Bangalore,BSB,Varanasi
15644,Kamakhya Express,DBRG,Dibrugarh,SDAH,Sealdah
15644,Kamakhya Express,KOAA,Kolkata,ADI,Ahmedabad
12378,Padatik Express,ADI,Ahmedabad,MAS,Chennai Central
12423,Rajdhani Express,BSB,Varanasi,ADI,Ahmedabad
12378,Padatik Express,MAS,Chennai Central,GHY,Guwahati
12345,Saraighat Express,BBS,Bhubaneswar,MAS,Chennai Central
12423,Rajdhani Express,JP,Jaipur,VSKP,Visakhapatnam
12501,Poorvottar Sampark Kranti,CSMT,Mumbai CST,BSB,Varanasi
12501,Poorvottar Sampark Kranti,RNC,Ranchi,DBRG,Dibrugarh
15644,Kamakhya Express,MAS,Chennai Central,CSMT,Mumbai CST
15644,Kamakhya Express,MAS,Chennai Central,DBRG,Dibrugarh
12423,Rajdhani Express,SDAH,Sealdah,SBC,Bangalore
12423,Rajdhani Express,MAS,Chennai Central,PNBE,Patna
12345,Saraighat Express,KOAA,Kolkata,JP,Jaipur
12423,Rajdhani Express,RNC,Ranchi,SCL,Silchar
12001,Shatabdi Express,PNBE,Patna,SDAH,Sealdah
12001,Shatabdi Express,JP,Jaipur,NDLS,New Delhi
12423,Rajdhani Express,BSB,Varanasi,HWH,Howrah
12001,Shatabdi Express,SBC,Bangalore,AGTL,Agartala
15910,Avadh Assam Express,PNBE,Patna,SDAH,Sealdah
15666,BG Express,KOAA,Kolkata,MAS,Chennai Central
12345,Saraighat Express,RNC,Ranchi,CSMT,Mumbai CST
15960,Kanchanjunga Express,GHY,Guwahati,AGTL,Agartala
12505,North East Express,PNBE,Patna,KOAA,Kolkata
12001,Shatabdi Express,CSMT,Mumbai CST,DBRG,Dibrugarh
12505,North East Express,BSB,Varanasi,GHY,Guwahati
15960,Kanchanjunga Express,AGTL,Agartala,BBS,Bhubaneswar
12378,Padatik Express,GHY,Guwahati,VSKP,Visakhapatnam
12423,Rajdhani Express,KOAA,Kolkata,DBRG,Dibrugarh
12345,Saraighat Express,JP,Jaipur,AGTL,Agartala
15666,BG Express,AGTL,Agartala,DBRG,Dibrugarh
15910,Avadh Assam Express,BSB,Varanasi,KOAA,Kolkata
15960,Kanchanjunga Express,AGTL,Agartala,ADI,Ahmedabad
15644,Kamakhya Express,VSKP,Visakhapatnam,SDAH,Sealdah
12505,North East Express,SBC,Bangalore,ADI,Ahmedabad
12423,Rajdhani Express,DBRG,Dibrugarh,HWH,Howrah
15960,Kanchanjunga Express,NDLS,New Delhi,RNC,Ranchi
12423,Rajdhani Express,HWH,Howrah,JP,Jaipur
12001,Shatabdi Express,RNC,Ranchi,MAS,Chennai Central
15910,Avadh Assam Express,RNC,Ranchi,SBC,Bangalore
12423,Rajdhani Express,SDAH,Sealdah,CSMT,Mumbai CST
12378,Padatik Express,CSMT,Mumbai CST,SCL,Silchar
15910,Avadh Assam Express,HWH,Howrah,MAS,Chennai Central
15666,BG Express,PNBE,Patna,KOAA,Kolkata
12501,Poorvottar Sampark Kranti,RNC,Ranchi,PNBE,Patna
15666,BG Express,SCL,Silchar,HWH,Howrah
12505,North East Express,HWH,Howrah,BSB,Varanasi
15960,Kanchanjunga Express,PNBE,Patna,SCL,Silchar
12505,North East Express,CSMT,Mumbai CST,MAS,Chennai Central
15644,Kamakhya Express,SDAH,Sealdah,JP,Jaipur
15666,BG Express,VSKP,Visakhapatnam,KOAA,Kolkata
15960,Kanchanjunga Express,JP,Jaipur,SBC,Bangalore
12345,Saraighat Express,HWH,Howrah,AGTL,Agartala
15666,BG Express,MAS,Chennai Central,BBS,Bhubaneswar
15960,Kanchanjunga Express,BBS,Bhubaneswar,ADI,Ahmedabad
12345,Saraighat Express,PNBE,Patna,SBC,Bangalore
12001,Shatabdi Express,DBRG,Dibrugarh,HWH,Howrah
12501,Poorvottar Sampark Kranti,BBS,Bhubaneswar,CSMT,Mumbai CST
12001,Shatabdi Express,BBS,Bhubaneswar,KOAA,Kolkata
12345,Saraighat Express,JP,Jaipur,MAS,Chennai Central
12345,Saraighat Express,SDAH,Sealdah,ADI,Ahmedabad
12378,Padatik Express,DBRG,Dibrugarh,NDLS,New Delhi
12378,Padatik Express,DBRG,Dibrugarh,GHY,Guwahati
15666,BG Express,BSB,Varanasi,VSKP,Visakhapatnam
12505,North East Express,PNBE,Patna,SDAH,Sealdah
15644,Kamakhya Express,BSB,Varanasi,MAS,Chennai Central
12345,Saraighat Express,CSMT,Mumbai CST,SDAH,Sealdah
12001,Shatabdi Express,JP,Jaipur,RNC,Ranchi
12505,North East Express,BBS,Bhubaneswar,VSKP,Visakhapatnam
12505,North East Express,RNC,Ranchi,SCL,Silchar
12423,Rajdhani Express,RNC,Ranchi,NDLS,New Delhi
15910,Avadh Assam Express,NDLS,New Delhi,MAS,Chennai Central
12423,Rajdhani Express,NDLS,New Delhi,SDAH,Sealdah
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,SCL,Silchar
15666,BG Express,MAS,Chennai Central,RNC,Ranchi
15910,Avadh Assam Express,AGTL,Agartala,BSB,Varanasi
12001,Shatabdi Express,SDAH,Sealdah,AGTL,Agartala
12378,Padatik Express,ADI,Ahmedabad,SCL,Silchar
15910,Avadh Assam Express,ADI,Ahmedabad,BSB,Varanasi
12001,Shatabdi Express,BSB,Varanasi,PNBE,Patna
12001,Shatabdi Express,AGTL,Agartala,DBRG,Dibrugarh
12501,Poorvottar Sampark Kranti,BBS,Bhubaneswar,AGTL,Agartala
12378,Padatik Express,BBS,Bhubaneswar,KOAA,Kolkata
12345,Saraighat Express,JP,Jaipur,DBRG,Dibrugarh
12001,Shatabdi Express,RNC,Ranchi,SDAH,Sealdah
12345,Saraighat Express,ADI,Ahmedabad,SDAH,Sealdah
15666,BG Express,NDLS,New Delhi,BBS,Bhubaneswar
12423,Rajdhani Express,BSB,Varanasi,KOAA,Kolkata
15666,BG Express,CSMT,Mumbai CST,SDAH,Sealdah
15666,BG Express,CSMT,Mumbai CST,KOAA,Kolkata
15644,Kamakhya Express,RNC,Ranchi,MAS,Chennai Central
15910,Avadh Assam Express,ADI,Ahmedabad,BBS,Bhubaneswar
12423,Rajdhani Express,RNC,Ranchi,BSB,Varanasi
12423,Rajdhani Express,RNC,Ranchi,JP,Jaipur
15644,Kamakhya Express,JP,Jaipur,CSMT,Mumbai CST
12505,North East Express,HWH,Howrah,NDLS,New Delhi
15910,Avadh Assam Express,GHY,Guwahati,AGTL,Agartala
15910,Avadh Assam Express,CSMT,Mumbai CST,ADI,Ahmedabad
15960,Kanchanjunga Express,MAS,Chennai Central,GHY,Guwahati
12345,Saraighat Express,BSB,Varanasi,GHY,Guwahati
15644,Kamakhya Express,RNC,Ranchi,SBC,Bangalore
15644,Kamakhya Express,BBS,Bhubaneswar,AGTL,Agartala
15666,BG Express,SBC,Bangalore,SDAH,Sealdah
12501,Poorvottar Sampark Kranti,VSKP,Visakhapatnam,BBS,Bhubaneswar
15644,Kamakhya Express,CSMT,Mumbai CST,DBRG,Dibrugarh
15666,BG Express,DBRG,Dibrugarh,RNC,Ranchi
12423,Rajdhani Express,CSMT,Mumbai CST,HWH,Howrah
12501,Poorvottar Sampark Kranti,SCL,Silchar,DBRG,Dibrugarh
12501,Poorvottar Sampark Kranti,BBS,Bhubaneswar,SCL,Silchar
12423,Rajdhani Express,KOAA,Kolkata,SBC,Bangalore
12505,North East Express,GHY,Guwahati,RNC,Ranchi
12001,Shatabdi Express,SDAH,Sealdah,SCL,Silchar
12001,Shatabdi Express,CSMT,Mumbai CST,AGTL,Agartala
12378,Padatik Express,SDAH,Sealdah,RNC,Ranchi
15644,Kamakhya Express,KOAA,Kolkata,BBS,Bhubaneswar
15910,Avadh Assam Express,AGTL,Agartala,BBS,Bhubaneswar
12345,Saraighat Express,ADI,Ahmedabad,GHY,Guwahati
12345,Saraighat Express,BBS,Bhubaneswar,GHY,Guwahati
15960,Kanchanjunga Express,HWH,Howrah,VSKP,Visakhapatnam
12378,Padatik Express,NDLS,New Delhi,HWH,Howrah
15666,BG Express,GHY,Guwahati,SDAH,Sealdah
